"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
26,17,14,13,23,25,14,33,13,15,13,32,26,7,13,33,11,10,9,347,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,15,Male,Yes,North Carolina  USA,31
26,144,90,38,84,186,65,120,41,74,31,83,50,15,34,146,16,34,17,1294,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,17,Female,Yes,Pennsylvania  US,30
30,14,9,11,12,38,10,43,12,17,12,30,11,7,11,12,9,9,103,400,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,Dexter  Maine USA,38
37,50,16,15,25,36,36,73,46,48,15,59,27,11,16,39,13,37,8,607,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,17,Male,Yes,PA  USA,33
37,41,10,10,17,67,39,63,22,58,53,71,10,8,14,48,11,51,9,639,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Oregon  USA,44
27,24,12,15,20,34,16,71,27,32,15,33,12,7,8,14,10,10,6,393,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,16,Female,Yes,Arizona  USA,32
33,26,13,10,33,21,12,35,25,21,11,37,9,21,7,12,10,15,9,360,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Female,Yes,illinois  usa,31
19,18,11,10,18,32,10,30,8,24,14,25,7,9,9,12,7,13,9,285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MA  USA,27
30,22,14,29,52,68,17,91,13,24,24,121,13,6,28,33,24,13,6,628,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,17,Female,Yes,Kodiak  Alaska  USA,36
22,19,14,11,13,36,26,68,12,15,11,56,8,5,10,14,5,12,6,363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Ohio  USA,45
39,18,13,105,19,45,94,18,22,42,987,22,144,5,7,33,10,73,20,1716,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,CT  USA,44
32,20,29,21,24,72,20,74,21,40,29,79,26,8,25,20,16,16,11,583,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,No,virginia  u.s.a.,55
34,18,13,11,17,66,29,44,18,30,24,47,11,6,16,48,7,13,7,459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,Missouri  United States,28
