,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
824,825,22,32,25,15,20,48,14,85,13,43,14,62,11,6,10,41,8,27,7,503,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,KY,38
825,826,22,22,37,11,13,51,19,43,64,15,14,96,22,21,10,11,8,10,9,498,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,PA,22
826,827,12,17,10,18,13,35,11,6,6,13,7,15,7,3,6,7,10,7,11,214,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,14,Male,Yes,OH,23
827,828,51,37,15,13,27,76,30,60,21,48,36,70,13,8,12,26,44,19,8,614,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,Male,No,MA,36
828,829,24,19,7,9,45,50,8,35,12,16,11,43,9,3,12,17,8,11,13,352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MI,24
829,830,89,101,155,123,91,132,54,64,53,65,41,56,66,7,13,21,27,28,6,1192,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,16,Male,Yes,CA,25
830,831,11,113,9,10,8,46,62,90,147,36,10,25,36,4,9,25,6,18,17,682,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,16,Male,Yes,WA,26
831,832,36,36,11,35,17,50,14,75,17,37,20,31,13,6,9,18,8,13,6,452,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,18,Female,Yes,LA,39
832,833,18,18,15,10,14,46,22,35,14,27,14,25,16,5,11,21,8,16,6,341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,IN,26
833,834,65,48,35,40,52,83,84,133,93,112,82,53,83,6,10,19,88,24,7,1117,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,14,Female,No,NY,43
834,835,31,22,14,21,17,40,114,656,147,136,102,56,116,12,9,19,50,25,8,1595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,WI,36
835,836,38,26,15,17,35,117,28,130,24,42,388,214,13,10,12,59,11,31,8,1218,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,Female,Yes,CO,35
836,837,23,21,33,29,135,130,78,92,108,82,11,202,10,6,6,126,77,73,9,1251,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,8,Male,Yes,TX,30
837,838,24,20,10,12,17,73,11,39,14,17,14,35,14,7,10,14,9,10,8,358,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,MA,58
838,839,18,16,13,26,19,51,16,7,14,13,11,6,16,5,12,31,7,11,7,299,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,13,Male,Yes,NY,30
839,840,20,23,9,9,25,35,17,45,11,36,17,41,13,6,8,15,6,20,7,363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,TX,35
840,841,39,78,23,57,74,56,23,90,26,35,23,100,23,11,18,146,25,17,8,872,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,17,Female,No,IN,51
841,842,18,68,15,39,13,71,30,43,16,27,24,104,14,4,6,44,13,18,8,575,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,Female,No,OH,28
842,843,47,44,16,18,45,47,21,48,26,62,25,41,34,10,13,19,13,22,22,573,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,17,Male,Yes,NV,33
843,844,25,34,14,12,84,39,18,38,21,35,26,64,18,5,8,20,9,17,5,492,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,15,Male,Yes,TX,25
844,845,25,21,23,7,14,38,14,43,77,51,25,61,33,6,13,15,7,12,8,493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,FL,29
